20;20
60;20
100;20
140;20
180;20
220;20
260;20
300;20
340;20
20;60
60;60
100;60
140;60
180;60
220;60
260;60
300;60
340;60
20;100
60;100
100;100
140;100
180;100
220;100
260;100
300;100
340;100
20;140
60;140
100;140
140;140
180;140
220;140
260;140
300;140
340;140
20;180
60;180
100;180
140;180
180;180
220;180
260;180
300;180
340;180
20;220
60;220
100;220
140;220
180;220
220;220
260;220
300;220
340;220
20;260
60;260
100;260
140;260
180;260
220;260
260;260
300;260
340;260
20;300
60;300
100;300
140;300
180;300
220;300
260;300
300;300
340;300
20;340
60;340
100;340
140;340
180;340
220;340
260;340
300;340
340;340
